frame,Detected Face,Emotion,output 2,timestamp
.gradio/flagged/frame/36408efdb001d911ec2f/image.png,.gradio/flagged/Detected Face/c952f61e1dd2cc14b759/image.webp,Happy (1.00),"'
    <style>
    .gradio-container {
        background-color: #FFE066 !important;
    }
    </style>
    ",2026-02-17 17:47:25.114484
.gradio/flagged/frame/4768010d174f95dafc37/image.png,.gradio/flagged/Detected Face/ecc74580076a79fbd91a/image.webp,Fear (0.69),"'
    <style>
    .gradio-container {
        background-color: #B39DDB !important;
    }
    </style>
    ",2026-02-17 17:49:21.844183
